,,0
Undefined,LUMPECTOMY + SENTINEL NODE BIOPSY,-0.32919990574255925
LUMPECTOMY + SENTINEL NODE BIOPSY,Undefined,-0.32919990574255925
MASTECTOMY.1,other.1,-0.32600353562818885
other.1,MASTECTOMY.1,-0.32600353562818885
אבחנה-Positive nodes,LUMPECTOMY + SENTINEL NODE BIOPSY,-0.3170155557205526
LUMPECTOMY + SENTINEL NODE BIOPSY,אבחנה-Positive nodes,-0.3170155557205526
אנמנזה רפואית, Hospital_20.0,-0.31340863920120715
 Hospital_20.0,אנמנזה רפואית,-0.31340863920120715
AXILLARY LYMPH NODE DISSECTION.1,other.1,-0.295804882561667
other.1,AXILLARY LYMPH NODE DISSECTION.1,-0.295804882561667
 Hospital_20.0,אבחנה-Basic stage_c - Clinical,-0.29192262630136945
אבחנה-Basic stage_c - Clinical, Hospital_20.0,-0.29192262630136945
אומדן סימפטומים ודיווח סיעודי,ביקור במרפאה,-0.286068465674052
ביקור במרפאה,אומדן סימפטומים ודיווח סיעודי,-0.286068465674052
כירורגיה-שד למפקטומי,כירו-שד-למפקטומי+בלוטות,-0.28347046213944715
כירו-שד-למפקטומי+בלוטות,כירורגיה-שד למפקטומי,-0.28347046213944715
כירו-שד-למפקטומי+בלוטות,כירו-שד-מסטקטומי+בלוטות,-0.28320569410804775
כירו-שד-מסטקטומי+בלוטות,כירו-שד-למפקטומי+בלוטות,-0.28320569410804775
דיווח סיעודי,ביקור במרפאה,-0.2819485831839699
ביקור במרפאה,דיווח סיעודי,-0.2819485831839699
other.2,LUMPECTOMY + SENTINEL NODE BIOPSY.1,-0.2795482995111243
LUMPECTOMY + SENTINEL NODE BIOPSY.1,other.2,-0.2795482995111243
 Hospital_20.0, Hospital_85.0,-0.27012085148688
 Hospital_85.0, Hospital_20.0,-0.27012085148688
User Name,אנמנזה רפואית,-0.2673358380231672
אנמנזה רפואית,User Name,-0.2673358380231672
other,LUMPECTOMY + AXILLARY DISSECTION,-0.2670002793332204
LUMPECTOMY + AXILLARY DISSECTION,other,-0.2670002793332204
אבחנה-Histological diagnosis_DUCTAL AND LOBULAR CARCINOMA,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.2639141152706446
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,אבחנה-Histological diagnosis_DUCTAL AND LOBULAR CARCINOMA,-0.2639141152706446
 Hospital_62.0,אבחנה-Basic stage_p - Pathological,-0.25485394758043545
אבחנה-Basic stage_p - Pathological, Hospital_62.0,-0.25485394758043545
T1,אבחנה-Her2,-0.2482631460986792
אבחנה-Her2,T1,-0.2482631460986792
אומדן סימפטומים ודיווח סיעודי,אנמנזה סיעודית,-0.24625770932979485
אנמנזה סיעודית,אומדן סימפטומים ודיווח סיעודי,-0.24625770932979485
דיווח סיעודי,אנמנזה סיעודית,-0.24271117083830623
אנמנזה סיעודית,דיווח סיעודי,-0.24271117083830623
שד-כריתה בגישה זעירה+בלוטות,כירו-שד-למפקטומי+בלוטות,-0.2367074059095131
כירו-שד-למפקטומי+בלוטות,שד-כריתה בגישה זעירה+בלוטות,-0.2367074059095131
other.2,MASTECTOMY + SENTINEL NODE BIOPSY.2,-0.22351473162714527
MASTECTOMY + SENTINEL NODE BIOPSY.2,other.2,-0.22351473162714527
T1,אבחנה-Positive nodes,-0.22006371401794692
אבחנה-Positive nodes,T1,-0.22006371401794692
other.2,LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST.1,-0.21894354895332901
LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST.1,other.2,-0.21894354895332901
אבחנה-Basic stage_p - Pathological,other,-0.2157473322779002
other,אבחנה-Basic stage_p - Pathological,-0.2157473322779002
other.1,MASTECTOMY + SENTINEL NODE BIOPSY.1,-0.2091021490236331
MASTECTOMY + SENTINEL NODE BIOPSY.1,other.1,-0.2091021490236331
אבחנה-Surgery sum,אבחנה-Basic stage_c - Clinical,-0.20336569970614596
אבחנה-Basic stage_c - Clinical,אבחנה-Surgery sum,-0.20336569970614596
ביקור במרפאה,אנמנזה סיעודית,-0.1986647939009442
אנמנזה סיעודית,ביקור במרפאה,-0.1986647939009442
אבחנה-Basic stage_c - Clinical,LUMPECTOMY + SENTINEL NODE BIOPSY,-0.19189655785097245
LUMPECTOMY + SENTINEL NODE BIOPSY,אבחנה-Basic stage_c - Clinical,-0.19189655785097245
אבחנה-Her2,LUMPECTOMY + SENTINEL NODE BIOPSY,-0.19065115222230633
LUMPECTOMY + SENTINEL NODE BIOPSY,אבחנה-Her2,-0.19065115222230633
אבחנה-Histopatological degree,כירו-שד-למפקטומי+בלוטות,-0.18612627147720007
כירו-שד-למפקטומי+בלוטות,אבחנה-Histopatological degree,-0.18612627147720007
כירורגיה-שד למפקטומי,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.1859258936898432
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,כירורגיה-שד למפקטומי,-0.1859258936898432
other,LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC.,-0.18406652052036646
LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC.,other,-0.18406652052036646
OPEN BIOPSY OF BREAST.1,other.1,-0.18107403501563246
other.1,OPEN BIOPSY OF BREAST.1,-0.18107403501563246
AXILLARY LYMPH NODE DISSECTION.2,other.1,-0.1810740350156319
other.1,AXILLARY LYMPH NODE DISSECTION.2,-0.1810740350156319
OPEN BIOPSY OF BREAST,other.2,-0.1793620582098959
other.2,OPEN BIOPSY OF BREAST,-0.1793620582098959
כירו-שד-למפקטומי+בלוטות,כירו-שד-למפקטומי+בלוטות+קרינה תוך ניתוחית (intrabeam),-0.1783035450863113
כירו-שד-למפקטומי+בלוטות+קרינה תוך ניתוחית (intrabeam),כירו-שד-למפקטומי+בלוטות,-0.1783035450863113
LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST,other,-0.17290670657435026
other,LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST,-0.17290670657435026
other.1,MASTECTOMY + AXILLARY DISSECTION.1,-0.17223202967978543
MASTECTOMY + AXILLARY DISSECTION.1,other.1,-0.17223202967978543
other.3,T1,-0.17195489571292097
T1,other.3,-0.17195489571292097
אומדן סימפטומים ודיווח סיעודי,ביקור במרפאה קרינה,-0.17114960633162532
ביקור במרפאה קרינה,אומדן סימפטומים ודיווח סיעודי,-0.17114960633162532
אבחנה-Histological diagnosis_INFILTRATING DUCTULAR CARCINOMA WITH DCIS,other,-0.17108187272794695
other,אבחנה-Histological diagnosis_INFILTRATING DUCTULAR CARCINOMA WITH DCIS,-0.17108187272794695
אבחנה-KI67 protein,אבחנה-Her2,-0.17105948574793903
אבחנה-Her2,אבחנה-KI67 protein,-0.17105948574793903
דיווח סיעודי,ביקור במרפאה קרינה,-0.16868475490297158
ביקור במרפאה קרינה,דיווח סיעודי,-0.16868475490297158
אבחנה-Basic stage_p - Pathological,T2,-0.16779595058986052
T2,אבחנה-Basic stage_p - Pathological,-0.16779595058986052
 Hospital_62.0,User Name,-0.16665210305879344
User Name, Hospital_62.0,-0.16665210305879344
Undefined,כירו-שד-למפקטומי+בלוטות,-0.16661539176173681
כירו-שד-למפקטומי+בלוטות,Undefined,-0.16661539176173681
אבחנה-Surgery sum,אבחנה-Her2,-0.16588614698910326
אבחנה-Her2,אבחנה-Surgery sum,-0.16588614698910326
אנמנזה רפואית,אומדן סימפטומים ודיווח סיעודי,-0.1641029353223902
אומדן סימפטומים ודיווח סיעודי,אנמנזה רפואית,-0.1641029353223902
UNILATERAL SIMPLE MASTECTOMY.1,other.1,-0.1629116593578489
other.1,UNILATERAL SIMPLE MASTECTOMY.1,-0.1629116593578489
other.1,BILATERAL EXTENDED SIMPLE MASTECTOMY.1,-0.16291165935784876
BILATERAL EXTENDED SIMPLE MASTECTOMY.1,other.1,-0.16291165935784876
MASTECTOMY + AXILLARY DISSECTION,other,-0.16251205738697935
other,MASTECTOMY + AXILLARY DISSECTION,-0.16251205738697935
אנמנזה רפואית,דיווח סיעודי,-0.16173956818853802
דיווח סיעודי,אנמנזה רפואית,-0.16173956818853802
LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.16079381879513607
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST,-0.16079381879513607
 Hospital_60.0,אבחנה-Basic stage_p - Pathological,-0.1598268657423783
אבחנה-Basic stage_p - Pathological, Hospital_60.0,-0.1598268657423783
other,MASTECTOMY + SENTINEL NODE BIOPSY,-0.1591566616802571
MASTECTOMY + SENTINEL NODE BIOPSY,other,-0.1591566616802571
other.1,LUMPECTOMY + AXILLARY DISSECTION.1,-0.15804581188188188
LUMPECTOMY + AXILLARY DISSECTION.1,other.1,-0.15804581188188188
PARTIAL HEPATECTOMY,other.1,-0.15804581188188077
other.1,PARTIAL HEPATECTOMY,-0.15804581188188077
LUMPECTOMY + SENTINEL NODE BIOPSY,other.3,-0.1572017175274681
other.3,LUMPECTOMY + SENTINEL NODE BIOPSY,-0.1572017175274681
אבחנה-Nodes exam,T1,-0.15719469468356911
T1,אבחנה-Nodes exam,-0.15719469468356911
שד-כריתה בגישה זעירה+בלוטות,אבחנה-Age,-0.15659299046449357
אבחנה-Age,שד-כריתה בגישה זעירה+בלוטות,-0.15659299046449357
T3,T1,-0.15649006579545197
T1,T3,-0.15649006579545197
אבחנה-Basic stage_p - Pathological,אבחנה-KI67 protein,-0.15420037272968215
אבחנה-KI67 protein,אבחנה-Basic stage_p - Pathological,-0.15420037272968215
אבחנה-Basic stage_p - Pathological,T3,-0.15357034295583386
T3,אבחנה-Basic stage_p - Pathological,-0.15357034295583386
אבחנה-Basic stage_c - Clinical,Undefined,-0.15251655220252006
Undefined,אבחנה-Basic stage_c - Clinical,-0.15251655220252006
אבחנה-Surgery sum,other.2,-0.15042278032995635
other.2,אבחנה-Surgery sum,-0.15042278032995635
Undefined, Hospital_62.0,-0.1482900430467688
 Hospital_62.0,Undefined,-0.1482900430467688
 Hospital_60.0,Undefined,-0.14778281814845617
Undefined, Hospital_60.0,-0.14778281814845617
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,אבחנה-Surgery sum,-0.14701429404095287
אבחנה-Surgery sum,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.14701429404095287
Undefined,T3,-0.1448495614470005
T3,Undefined,-0.1448495614470005
אבחנה-Histopatological degree,אבחנה-Basic stage_p - Pathological,-0.14476265506348004
אבחנה-Basic stage_p - Pathological,אבחנה-Histopatological degree,-0.14476265506348004
other.3,אבחנה-Surgery sum,-0.142995040511927
אבחנה-Surgery sum,other.3,-0.142995040511927
LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC..1,other.1,-0.14245593872175183
other.1,LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC..1,-0.14245593872175183
אבחנה-Basic stage_p - Pathological,OPEN BIOPSY OF BREAST,-0.14099703833187105
OPEN BIOPSY OF BREAST,אבחנה-Basic stage_p - Pathological,-0.14099703833187105
other,כירו-שד-למפקטומי+בלוטות,-0.13983901719679157
כירו-שד-למפקטומי+בלוטות,other,-0.13983901719679157
other.3,כירורגיה-שד למפקטומי,-0.13918017487429402
כירורגיה-שד למפקטומי,other.3,-0.13918017487429402
other.3,כירו-שד-מסטקטומי+בלוטות,-0.13905017734074637
כירו-שד-מסטקטומי+בלוטות,other.3,-0.13905017734074637
אבחנה-KI67 protein,אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,-0.1382952379520658
אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,אבחנה-KI67 protein,-0.1382952379520658
ביקור במרפאה קרינה,ביקור במרפאה,-0.13807243379562342
ביקור במרפאה,ביקור במרפאה קרינה,-0.13807243379562342
MASTECTOMY.2,other.1,-0.1368657558079476
other.1,MASTECTOMY.2,-0.1368657558079476
 Hospital_60.0,User Name,-0.13665965438086006
User Name, Hospital_60.0,-0.13665965438086006
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,"אבחנה-Histological diagnosis_""TUMOR  MALIGNANT, NOS""",-0.13524150134198812
"אבחנה-Histological diagnosis_""TUMOR  MALIGNANT, NOS""",אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.13524150134198812
אנמנזה רפואית,ביקור במרפאה,-0.13238763534790163
ביקור במרפאה,אנמנזה רפואית,-0.13238763534790163
QUADRANTECTOMY.1,other.1,-0.13103756492679142
other.1,QUADRANTECTOMY.1,-0.13103756492679142
TIS,other,-0.13043960298623736
other,TIS,-0.13043960298623736
אבחנה-Histopatological degree,LUMPECTOMY + AXILLARY DISSECTION,-0.13040532922819997
LUMPECTOMY + AXILLARY DISSECTION,אבחנה-Histopatological degree,-0.13040532922819997
other.1,LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST,-0.1301019141240014
LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST,other.1,-0.1301019141240014
כירו-שד-מסטקטומי+בלוטות,LUMPECTOMY + SENTINEL NODE BIOPSY,-0.12986129907560207
LUMPECTOMY + SENTINEL NODE BIOPSY,כירו-שד-מסטקטומי+בלוטות,-0.12986129907560207
אבחנה-KI67 protein,אבחנה-Histopatological degree,-0.12924497427278708
אבחנה-Histopatological degree,אבחנה-KI67 protein,-0.12924497427278708
אבחנה-KI67 protein,Undefined,-0.12826491714117785
Undefined,אבחנה-KI67 protein,-0.12826491714117785
T1,אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,-0.12632801980882888
אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,T1,-0.12632801980882888
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,אבחנה-Histological diagnosis_INTRADUCT AND LOBULAR CARCINOMA IN SITU,-0.1256540069248076
אבחנה-Histological diagnosis_INTRADUCT AND LOBULAR CARCINOMA IN SITU,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.1256540069248076
כירו-שד-למפקטומי+בלוטות,MASTECTOMY + AXILLARY DISSECTION,-0.12527149491111275
MASTECTOMY + AXILLARY DISSECTION,כירו-שד-למפקטומי+בלוטות,-0.12527149491111275
שד-כריתה בגישה זעירה דרך העטרה,כירו-שד-למפקטומי+בלוטות,-0.12080964215257577
כירו-שד-למפקטומי+בלוטות,שד-כריתה בגישה זעירה דרך העטרה,-0.12080964215257577
other.1,QUADRANTECTOMY,-0.12042439465726425
QUADRANTECTOMY,other.1,-0.12042439465726425
T2,T3,-0.11920481328678197
T3,T2,-0.11920481328678197
אנמנזה סיעודית,ביקור במרפאה קרינה,-0.11885756505172258
ביקור במרפאה קרינה,אנמנזה סיעודית,-0.11885756505172258
אבחנה-Surgery sum, Hospital_20.0,-0.11868574746815759
 Hospital_20.0,אבחנה-Surgery sum,-0.11868574746815759
BILATERAL SIMPLE MASTECTOMY.1,other.1,-0.11852536877100836
other.1,BILATERAL SIMPLE MASTECTOMY.1,-0.11852536877100836
other.1,OPEN BIOPSY OF BREAST,-0.11710861757884113
OPEN BIOPSY OF BREAST,other.1,-0.11710861757884113
אבחנה-KI67 protein,אבחנה-Age,-0.11657911063511919
אבחנה-Age,אבחנה-KI67 protein,-0.11657911063511919
other.3,שד-כריתה בגישה זעירה+בלוטות,-0.11622014477233333
שד-כריתה בגישה זעירה+בלוטות,other.3,-0.11622014477233333
 Hospital_20.0,אבחנה-Tumor width,-0.11607034460428162
אבחנה-Tumor width, Hospital_20.0,-0.11607034460428162
ביקור במרפאה,אבחנה-KI67 protein,-0.11579604788000909
אבחנה-KI67 protein,ביקור במרפאה,-0.11579604788000909
כירו-שד-למפקטומי+בלוטות,אבחנה-Nodes exam,-0.11564722067002874
אבחנה-Nodes exam,כירו-שד-למפקטומי+בלוטות,-0.11564722067002874
OPEN BIOPSY OF BREAST,other,-0.11466456465015477
other,OPEN BIOPSY OF BREAST,-0.11466456465015477
אנמנזה סיעודית,אנמנזה רפואית,-0.1139638923414531
אנמנזה רפואית,אנמנזה סיעודית,-0.1139638923414531
other, Hospital_60.0,-0.11354519588627647
 Hospital_60.0,other,-0.11354519588627647
TIS,T1,-0.11319715979762573
T1,TIS,-0.11319715979762573
LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST,כירו-שד-למפקטומי+בלוטות,-0.11309708216261982
כירו-שד-למפקטומי+בלוטות,LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST,-0.11309708216261982
RADICAL MODIFIED MASTECTOMY,other,-0.1109980553012893
other,RADICAL MODIFIED MASTECTOMY,-0.1109980553012893
אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,T2,-0.1106509853410738
T2,אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,-0.1106509853410738
MASTECTOMY + SENTINEL NODE BIOPSY,כירו-שד-למפקטומי+בלוטות,-0.10969416386011474
כירו-שד-למפקטומי+בלוטות,MASTECTOMY + SENTINEL NODE BIOPSY,-0.10969416386011474
LUMPECTOMY + AXILLARY DISSECTION,LUMPECTOMY + SENTINEL NODE BIOPSY,-0.10926102714167747
LUMPECTOMY + SENTINEL NODE BIOPSY,LUMPECTOMY + AXILLARY DISSECTION,-0.10926102714167747
LUMPECTOMY + SENTINEL NODE BIOPSY,שד-כריתה בגישה זעירה+בלוטות,-0.10893912776111772
שד-כריתה בגישה זעירה+בלוטות,LUMPECTOMY + SENTINEL NODE BIOPSY,-0.10893912776111772
אבחנה-KI67 protein,TIS,-0.10842574114842435
TIS,אבחנה-KI67 protein,-0.10842574114842435
LUMPECTOMY + SENTINEL NODE BIOPSY,T3,-0.10814721366590355
T3,LUMPECTOMY + SENTINEL NODE BIOPSY,-0.10814721366590355
Undefined,LUMPECTOMY + AXILLARY DISSECTION,-0.10799959023031233
LUMPECTOMY + AXILLARY DISSECTION,Undefined,-0.10799959023031233
 Hospital_60.0,כירו-שד-למפקטומי+בלוטות,-0.10695923136988933
כירו-שד-למפקטומי+בלוטות, Hospital_60.0,-0.10695923136988933
אבחנה-Her2,אבחנה-Histological diagnosis_LOBULAR INFILTRATING CARCINOMA,-0.10685169176199721
אבחנה-Histological diagnosis_LOBULAR INFILTRATING CARCINOMA,אבחנה-Her2,-0.10685169176199721
User Name,אבחנה-Basic stage_c - Clinical,-0.10573030971695956
אבחנה-Basic stage_c - Clinical,User Name,-0.10573030971695956
TIS,Undefined,-0.10477699571782656
Undefined,TIS,-0.10477699571782656
OTHER LOBECTOMY OF LUNG,other.1,-0.10452728496897493
other.1,OTHER LOBECTOMY OF LUNG,-0.10452728496897493
T1, Hospital_20.0,-0.10389515687233099
 Hospital_20.0,T1,-0.10389515687233099
כיר-שד-הוצ.בלוטות בית שח,כירו-שד-למפקטומי+בלוטות,-0.10073575792200302
כירו-שד-למפקטומי+בלוטות,כיר-שד-הוצ.בלוטות בית שח,-0.10073575792200302
T3, Hospital_20.0,-0.10039519329890852
 Hospital_20.0,T3,-0.10039519329890852
other,MASTECTOMY,-0.10000018112857918
MASTECTOMY,other,-0.10000018112857918
LUMPECTOMY + SENTINEL NODE BIOPSY, Hospital_20.0,-0.09907510628975505
 Hospital_20.0,LUMPECTOMY + SENTINEL NODE BIOPSY,-0.09907510628975505
אבחנה-KI67 protein,other.3,-0.09724935398876718
other.3,אבחנה-KI67 protein,-0.09724935398876718
BILATERAL SIMPLE MASTECTOMY,other.1,-0.09715276411562065
other.1,BILATERAL SIMPLE MASTECTOMY,-0.09715276411562065
אומדן סימפטומים ודיווח סיעודי,T1,-0.09684730733212783
T1,אומדן סימפטומים ודיווח סיעודי,-0.09684730733212783
other.1,SUBTOTAL MASTECTOMY.1,-0.09677241297214889
SUBTOTAL MASTECTOMY.1,other.1,-0.09677241297214889
LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC.,אבחנה-Histopatological degree,-0.09419787981713895
אבחנה-Histopatological degree,LOCAL EXC.BREAST LESION + REG. LYMPH NODE EXC.,-0.09419787981713895
אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,אומדן סימפטומים ודיווח סיעודי,-0.0940590628047578
אומדן סימפטומים ודיווח סיעודי,אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,-0.0940590628047578
כירורגיה-שד מסטקטומי,כירו-שד-למפקטומי+בלוטות,-0.09384218633713558
כירו-שד-למפקטומי+בלוטות,כירורגיה-שד מסטקטומי,-0.09384218633713558
אבחנה-Age,שד-כריתה בגישה זעירה דרך העטרה,-0.09365355704837797
שד-כריתה בגישה זעירה דרך העטרה,אבחנה-Age,-0.09365355704837797
כירו-שד-למפקטומי+בלוטות,T4,-0.09188078178294949
T4,כירו-שד-למפקטומי+בלוטות,-0.09188078178294949
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,אבחנה-Basic stage_p - Pathological,-0.09017564295408032
אבחנה-Basic stage_p - Pathological,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.09017564295408032
T4,T1,-0.08863688738931368
T1,T4,-0.08863688738931368
other.1,LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST.2,-0.088339765501194
LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST.2,other.1,-0.088339765501194
אבחנה-Basic stage_p - Pathological,אנמנזה רפואית,-0.0881866997683422
אנמנזה רפואית,אבחנה-Basic stage_p - Pathological,-0.0881866997683422
כירו-שד-למפקטומי+בלוטות,אבחנה-Positive nodes,-0.08798452127779093
אבחנה-Positive nodes,כירו-שד-למפקטומי+בלוטות,-0.08798452127779093
other.3,כירו-שד-למפקטומי+בלוטות+קרינה תוך ניתוחית (intrabeam),-0.0875446365682062
כירו-שד-למפקטומי+בלוטות+קרינה תוך ניתוחית (intrabeam),other.3,-0.0875446365682062
אבחנה-Histological diagnosis_COMEDOCARCINOMA IN SITU,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.08709940907028972
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,אבחנה-Histological diagnosis_COMEDOCARCINOMA IN SITU,-0.08709940907028972
"אבחנה-Histological diagnosis_""INTRADUCTAL PAPILLOMATOSIS, NOS""",אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.08641532852630475
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,"אבחנה-Histological diagnosis_""INTRADUCTAL PAPILLOMATOSIS, NOS""",-0.08641532852630475
TIS,T2,-0.08622685554946104
T2,TIS,-0.08622685554946104
 Hospital_60.0,אבחנה-Her2,-0.08586793472825655
אבחנה-Her2, Hospital_60.0,-0.08586793472825655
LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST.1,other,-0.08517387017302314
other,LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST.1,-0.08517387017302314
אבחנה-Positive nodes,אבחנה-KI67 protein,-0.08509339491323809
אבחנה-KI67 protein,אבחנה-Positive nodes,-0.08509339491323809
MASTECTOMY + SENTINEL NODE BIOPSY,אבחנה-Nodes exam,-0.0848778802793027
אבחנה-Nodes exam,MASTECTOMY + SENTINEL NODE BIOPSY,-0.0848778802793027
אבחנה-Her2, Hospital_62.0,-0.084616724872235
 Hospital_62.0,אבחנה-Her2,-0.084616724872235
דיווח סיעודי, Hospital_60.0,-0.0843694581917072
 Hospital_60.0,דיווח סיעודי,-0.0843694581917072
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,T0,-0.0836594077005811
T0,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.0836594077005811
